time,temp *C,humidity %
0.06,23.75,42.62
1.10,23.75,42.64
2.14,23.75,42.58
3.19,23.72,42.63
4.23,23.75,42.61
5.27,23.72,42.62
6.32,23.73,42.64
7.36,23.72,42.64
8.40,23.72,42.62
9.45,23.72,42.63
10.49,23.72,42.63
11.53,23.72,42.63
12.58,23.73,42.72
13.62,23.70,42.64
14.66,23.73,42.67
15.71,23.70,42.67
16.75,23.72,42.63
17.79,23.73,42.66
18.84,23.73,42.66
19.88,23.72,42.69
20.93,23.70,42.69
21.97,23.72,42.65
23.01,23.72,42.69
24.06,23.70,42.68
25.10,23.72,42.65
26.14,23.70,42.70
27.19,23.70,42.70
28.23,23.70,42.72
29.28,23.69,42.73
30.32,23.72,42.72
31.36,23.70,42.72
32.41,23.69,42.71
33.45,23.69,42.71
34.49,23.70,42.72
35.54,23.70,42.77
36.58,23.68,42.71
37.62,23.68,42.72
38.67,23.70,42.73
39.71,23.69,42.71
40.75,23.66,42.76
41.80,23.70,42.72
42.84,23.72,42.73
43.88,23.70,42.74
44.93,23.69,42.77
45.97,23.66,42.77
47.02,23.66,42.77
48.06,23.66,42.77
49.10,23.68,42.80
50.15,23.68,42.82
51.19,23.68,42.79
52.23,23.66,42.79
53.28,23.68,42.78
54.32,23.66,42.79
55.36,23.66,42.78
56.41,23.66,42.83
57.45,23.66,42.81
58.49,23.68,42.83
59.54,23.68,42.82
60.58,23.68,42.83
61.63,23.68,42.85
62.67,23.65,42.85
63.71,23.68,42.86
64.76,23.65,42.81
65.80,23.65,42.88
66.84,23.66,42.84
67.89,23.66,42.86
68.93,23.66,42.89
69.97,23.63,42.85
71.02,23.66,42.88
72.06,23.66,42.84
73.10,23.63,42.89
74.15,23.68,42.91
75.19,23.65,42.88
76.23,23.65,42.89
77.28,23.63,42.86
78.32,23.65,42.91
79.37,23.63,42.93
80.41,23.65,42.87
81.45,23.62,42.91
82.50,23.63,42.89
83.54,23.66,42.94
84.58,23.65,42.91
85.63,23.63,42.93
86.67,23.63,42.94
87.71,23.63,42.95
88.76,23.63,42.96
89.80,23.63,42.93
90.84,23.62,42.94
91.89,23.63,42.96
92.93,23.65,42.93
93.98,23.65,42.95
95.02,23.65,43.00
96.06,23.62,42.98
97.11,23.63,43.00
98.15,23.62,42.98
99.19,23.65,43.00
100.24,23.61,43.00
101.28,23.63,43.01
102.33,23.62,42.99
103.37,23.63,43.00
104.41,23.62,43.00
105.45,23.63,42.99
106.50,23.62,42.99
107.54,23.61,43.02
108.59,23.59,43.02
109.63,23.61,42.99
110.67,23.61,43.02
111.72,23.61,43.03
112.76,23.62,43.03
113.80,23.59,43.05
114.85,23.62,43.06
115.89,23.59,43.07
116.94,23.62,43.06
117.98,23.59,43.06
119.02,23.62,43.05
120.07,23.61,43.07
121.11,23.61,43.08
122.15,23.62,43.07
123.20,23.62,43.07
124.24,23.61,43.07
125.28,23.61,43.07
126.33,23.61,43.08
127.37,23.62,43.06
128.41,23.62,43.10
129.46,23.62,43.10
130.50,23.61,43.11
131.55,23.59,43.10
132.59,23.61,43.11
133.63,23.62,43.16
134.68,23.61,43.12
135.72,23.61,43.12
